cell_id,row_index,column_index,header,ocr_text,confidence,confirmed_status,review_reasons,ink_ratio,absolute_bbox
r001_c15,1,15,6.26 오후,NVIDIA (1 호 차),93.0,needs_reread,variant_disagreement,0.3277,"[1561, 66, 1687, 83]"
r001_c16,1,16,6.26 석식,스테이크 (2 호 차),92.75,needs_reread,variant_disagreement,0.317,"[1689, 66, 1825, 83]"
r001_c17,1,17,…,치 플레 (1 호 차),92.6,needs_reread,variant_disagreement,0.4068,"[1827, 66, 1922, 83]"
r001_c18,1,18,6.27,BBQ (1 호 차),91.0,needs_reread,variant_disagreement,0.3471,"[1924, 66, 2024, 83]"
r001_c19,1,19,6.28,공항 (1 호 차),93.25,needs_reread,variant_disagreement,0.3732,"[2026, 66, 2116, 83]"
r002_c00,2,0,차량,ㅣ,73.0,needs_reread,variant_disagreement,0.0,"[1, 85, 32, 102]"
r002_c01,2,1,번호,| 2,70.0,needs_reread,variant_disagreement,0.1841,"[34, 85, 65, 102]"
r002_c02,2,2,| 조,| 11,80.0,needs_reread,variant_disagreement,0.2211,"[67, 85, 121, 102]"
r002_c03,2,3,이름 | 이름,김 예 주,94.0,needs_reread,variant_disagreement,0.2318,"[123, 85, 241, 102]"
r002_c04,2,4,6.23 점심 자 유 식,ㅣ 스탠포드 (1 호 차),88.6,needs_reread,variant_disagreement,0.3446,"[243, 85, 363, 102]"
r002_c05,2,5,6.23 석식,인 앤 아웃 (1 호 차),92.5,needs_reread,variant_disagreement,0.3679,"[365, 85, 483, 102]"
r002_c06,2,6,6.24 오전,PnP (3 호 차),93.25,needs_reread,variant_disagreement,0.2467,"[485, 85, 619, 102]"
r002_c08,2,8,버스 교체,|,55.0,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 85, 828, 102]"
r002_c09,2,9,6.24 오후,블 룸 에너지 (4 호 차),92.33,needs_reread,variant_disagreement,0.3672,"[830, 85, 970, 102]"
r002_c10,2,10,| 6.24 석식,ㅣ 쌀국수 (4 호 차),83.4,needs_reread,variant_disagreement,0.3031,"[972, 85, 1109, 102]"
r002_c11,2,11,6.25 점 심 자 유 식,UCH 2] (1 호 차),81.4,needs_reread,variant_disagreement,0.3667,"[1111, 85, 1235, 102]"
r002_c12,2,12,6.25 석 식 자 유식,를 =,36.5,needs_reread,low_confidence|variant_disagreement,1.0,"[1237, 85, 1329, 102]"
r002_c13,2,13,6.26 오전,ㅣ 브 리 즈 바이오 (1 호 차),88.62,needs_reread,variant_disagreement,0.3758,"[1331, 85, 1465, 102]"
r002_c14,2,14,6.26 중 식 자 유 식,Pe,0.0,needs_reread,low_confidence,1.0,"[1467, 85, 1559, 102]"
r002_c15,2,15,6.26 오후,NVIDIA (1 호 차),93.25,needs_reread,variant_disagreement,0.3324,"[1561, 85, 1687, 102]"
r002_c16,2,16,6.26 석식,스테이크 (2 호 차),92.75,needs_reread,variant_disagreement,0.3162,"[1689, 85, 1825, 102]"
r002_c17,2,17,…,치 플 레 (1 호 차),89.83,needs_reread,variant_disagreement,0.4068,"[1827, 85, 1922, 102]"
r002_c18,2,18,6.27,BBQ (1 호 차),86.25,needs_reread,variant_disagreement,0.3518,"[1924, 85, 2024, 102]"
r002_c19,2,19,6.28,공항 (1 호 차),93.25,needs_reread,variant_disagreement,0.3627,"[2026, 85, 2116, 102]"
r003_c01,3,1,번호,| 3,78.5,needs_reread,variant_disagreement,0.1841,"[34, 104, 65, 121]"
r003_c02,3,2,| 조,| 11,81.5,needs_reread,variant_disagreement,0.2854,"[67, 104, 121, 121]"
r003_c04,3,4,6.23 점심 자 유 식,ㅣ 스탠포드 (1 호 차),85.2,needs_reread,variant_disagreement,0.3417,"[243, 104, 363, 121]"
r003_c05,3,5,6.23 석식,인 엔 아웃 (1 호 차),87.17,needs_reread,variant_disagreement,0.3699,"[365, 104, 483, 121]"
r003_c06,3,6,6.24 오전,PnP (3 호 차),91.0,needs_reread,variant_disagreement,0.2515,"[485, 104, 619, 121]"
r003_c07,3,7,6.24 중식,쌀국수 (3 호 차),92.75,needs_reread,variant_disagreement,0.3147,"[621, 104, 738, 121]"
r003_c08,3,8,버스 교체,늘 =,39.5,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 104, 828, 121]"
r003_c09,3,9,6.24 오후,블 룸 에너지 (4 호 차),85.5,needs_reread,variant_disagreement,0.3748,"[830, 104, 970, 121]"
r003_c10,3,10,| 6.24 석식,| 쌀국수 (4 호 차),85.4,needs_reread,variant_disagreement,0.3018,"[972, 104, 1109, 121]"
r003_c11,3,11,6.25 점 심 자 유 식,| UCH Be] (1 초 차) _,68.14,needs_reread,low_confidence|variant_disagreement,0.3667,"[1111, 104, 1235, 121]"
r003_c12,3,12,6.25 석 식 자 유식,…,34.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1237, 104, 1329, 121]"
r003_c13,3,13,6.26 오전,| 브 리 즈 바 미 오 (1 호 차),87.7,needs_reread,variant_disagreement,0.3797,"[1331, 104, 1465, 121]"
r003_c14,3,14,6.26 중 식 자 유 식,| —,19.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1467, 104, 1559, 121]"
r003_c15,3,15,6.26 오후,| NVIDIA (1 호 차),71.0,needs_reread,variant_disagreement,0.3305,"[1561, 104, 1687, 121]"
r003_c16,3,16,6.26 석식,스테이크 (2 호 차),93.75,needs_reread,variant_disagreement,0.3119,"[1689, 104, 1825, 121]"
r003_c17,3,17,…,치 플레 (1 호 차),81.2,needs_reread,variant_disagreement,0.4031,"[1827, 104, 1922, 121]"
r003_c18,3,18,6.27,BBQ (1 호 차},79.75,needs_reread,variant_disagreement,0.3576,"[1924, 104, 2024, 121]"
r003_c19,3,19,6.28,| 공항 (1 호 차),85.6,needs_reread,variant_disagreement,0.368,"[2026, 104, 2116, 121]"
r004_c00,4,0,차량,ㅣ,73.0,needs_reread,variant_disagreement,0.0,"[1, 123, 32, 140]"
r004_c01,4,1,번호,| 4,79.5,needs_reread,variant_disagreement,0.1765,"[34, 123, 65, 140]"
r004_c02,4,2,| 조,| 11,73.0,needs_reread,variant_disagreement,0.2211,"[67, 123, 121, 140]"
r004_c03,4,3,이름 | 이름,안 동 현,80.33,needs_reread,variant_disagreement,0.2178,"[123, 123, 241, 140]"
r004_c04,4,4,6.23 점심 자 유 식,| 스탠포드 (1 호 차),88.8,needs_reread,variant_disagreement,0.348,"[243, 123, 363, 140]"
r004_c05,4,5,6.23 석식,. 인 앤 아 웃 (1 호 차),80.38,needs_reread,variant_disagreement,0.3764,"[365, 123, 483, 140]"
r004_c06,4,6,6.24 오전,PnP (3 호 차),87.5,needs_reread,variant_disagreement,0.248,"[485, 123, 619, 140]"
r004_c07,4,7,6.24 중식,쌀국수 (3 호 차),85.25,needs_reread,variant_disagreement,0.3223,"[621, 123, 738, 140]"
r004_c08,4,8,버스 교체,| 호텔 차 랑 교 체,82.0,needs_reread,variant_disagreement,1.0,"[740, 123, 828, 140]"
r004_c09,4,9,6.24 오후,블 룸 에너 너지 (4 호 차),84.29,needs_reread,variant_disagreement,0.3782,"[830, 123, 970, 140]"
r004_c10,4,10,| 6.24 석식,ㅣ 쌀국수 (4 호 차),84.2,needs_reread,variant_disagreement,0.3117,"[972, 123, 1109, 140]"
r004_c11,4,11,6.25 점 심 자 유 식,400 버 클리 (1 호 차),77.17,needs_reread,variant_disagreement,0.3757,"[1111, 123, 1235, 140]"
r004_c12,4,12,6.25 석 식 자 유식,|,75.0,needs_reread,variant_disagreement,1.0,"[1237, 123, 1329, 140]"
r004_c13,4,13,6.26 오전,ㅣ 브 리 즈 바이오 (1 호 차),86.25,needs_reread,variant_disagreement,0.3832,"[1331, 123, 1465, 140]"
r004_c14,4,14,6.26 중 식 자 유 식,|,92.0,needs_reread,variant_disagreement,1.0,"[1467, 123, 1559, 140]"
r004_c15,4,15,6.26 오후,| NVIDIA (12:44),66.33,needs_reread,low_confidence|variant_disagreement,0.331,"[1561, 123, 1687, 140]"
r004_c16,4,16,6.26 석식,스테이크 (2 호 차),92.75,needs_reread,variant_disagreement,0.317,"[1689, 123, 1825, 140]"
r004_c17,4,17,…,치 플레 (1 호 차),92.4,needs_reread,variant_disagreement,0.4074,"[1827, 123, 1922, 140]"
r004_c18,4,18,6.27,_ BBO (1 호 차),75.2,needs_reread,variant_disagreement,0.3494,"[1924, 123, 2024, 140]"
r004_c19,4,19,6.28,| 공항 (1 호 차),86.2,needs_reread,variant_disagreement,0.3804,"[2026, 123, 2116, 140]"
r005_c00,5,0,차량,ㅣ,74.0,needs_reread,variant_disagreement,0.0,"[1, 142, 32, 158]"
r005_c01,5,1,번호,| 5,86.5,needs_reread,variant_disagreement,0.1431,"[34, 142, 65, 158]"
r005_c02,5,2,| 조,| 11,80.0,needs_reread,variant_disagreement,0.2257,"[67, 142, 121, 158]"
r005_c03,5,3,이름 | 이름,양 지 훈,90.0,needs_reread,variant_disagreement,0.2526,"[123, 142, 241, 158]"
r005_c05,5,5,6.23 석식,. 인 맨 아 옷 (1 호 차),74.12,needs_reread,variant_disagreement,0.3941,"[365, 142, 483, 158]"
r005_c06,5,6,6.24 오전,PnP (3 호 차),92.75,needs_reread,variant_disagreement,0.2598,"[485, 142, 619, 158]"
r005_c07,5,7,6.24 중식,쌀국수 (3 호 차),88.75,needs_reread,variant_disagreement,0.3349,"[621, 142, 738, 158]"
r005_c08,5,8,버스 교체,|,90.0,needs_reread,variant_disagreement,1.0,"[740, 142, 828, 158]"
r005_c09,5,9,6.24 오후,블 룸 에 너지 (4 호 차),89.86,needs_reread,variant_disagreement,0.3906,"[830, 142, 970, 158]"
r005_c10,5,10,| 6.24 석식,| 쌀국수 (4 호 차),83.6,needs_reread,variant_disagreement,0.3271,"[972, 142, 1109, 158]"
r005_c11,5,11,6.25 점 심 자 유 식,| UCH Be] (1 호 차),69.33,needs_reread,low_confidence|variant_disagreement,0.3891,"[1111, 142, 1235, 158]"
r005_c12,5,12,6.25 석 식 자 유식,"^, ,",0.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1237, 142, 1329, 158]"
r005_c13,5,13,6.26 오전,| 브 리 즈 바 이오 (1 호 차},89.44,needs_reread,variant_disagreement,0.3965,"[1331, 142, 1465, 158]"
r005_c14,5,14,6.26 중 식 자 유 식,|,92.0,needs_reread,variant_disagreement,1.0,"[1467, 142, 1559, 158]"
r005_c15,5,15,6.26 오후,| NVIDIA (1 호 차),72.2,needs_reread,variant_disagreement,0.3472,"[1561, 142, 1687, 158]"
r005_c16,5,16,6.26 석식,스테이크 (2 호 차),92.5,needs_reread,variant_disagreement,0.3318,"[1689, 142, 1825, 158]"
r005_c17,5,17,…,_ 치 폴 레 (1 호 차),84.0,needs_reread,variant_disagreement,0.4257,"[1827, 142, 1922, 158]"
r005_c18,5,18,6.27,BBQ (1 호 차),88.5,needs_reread,variant_disagreement,0.3681,"[1924, 142, 2024, 158]"
r005_c19,5,19,6.28,| 공항 (1 호 차),87.0,needs_reread,variant_disagreement,0.4014,"[2026, 142, 2116, 158]"
r006_c00,6,0,차량,ㅣ,73.0,needs_reread,variant_disagreement,0.0,"[1, 160, 32, 177]"
r006_c01,6,1,번호,| 6,82.0,needs_reread,variant_disagreement,0.1935,"[34, 160, 65, 177]"
r006_c02,6,2,| 조,| 11,81.0,needs_reread,variant_disagreement,0.2723,"[67, 160, 121, 177]"
r006_c04,6,4,6.23 점심 자 유 식,스탠포드 (1 호 차),92.75,needs_reread,variant_disagreement,0.3534,"[243, 160, 363, 177]"
r006_c05,6,5,6.23 석식,인 엔 아 옷 (1 호 차),86.43,needs_reread,variant_disagreement,0.3789,"[365, 160, 483, 177]"
r006_c06,6,6,6.24 오전,PnP (3 호 차),93.0,needs_reread,variant_disagreement,0.2515,"[485, 160, 619, 177]"
r006_c08,6,8,버스 교체,PO,27.0,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 160, 828, 177]"
r006_c09,6,9,6.24 오후,블 룸 에 너지 (4 호 차),85.71,needs_reread,variant_disagreement,0.3769,"[830, 160, 970, 177]"
r006_c10,6,10,| 6.24 석식,ㅣ 쌀국수 (4 호 차),84.2,needs_reread,variant_disagreement,0.3186,"[972, 160, 1109, 177]"
r006_c11,6,11,6.25 점 심 자 유 식,UCH #2] (1 호 차),87.0,needs_reread,variant_disagreement,0.3828,"[1111, 160, 1235, 177]"
r006_c12,6,12,6.25 석 식 자 유식,|,78.0,needs_reread,variant_disagreement,1.0,"[1237, 160, 1329, 177]"
r006_c13,6,13,6.26 오전,| 브 리 즈 바 미모 (1 호 차),88.11,needs_reread,variant_disagreement,0.3951,"[1331, 160, 1465, 177]"
r006_c14,6,14,6.26 중 식 자 유 식,늘,28.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1467, 160, 1559, 177]"
r006_c15,6,15,6.26 오후,NVIDIA (1 호 차),92.5,needs_reread,variant_disagreement,0.3343,"[1561, 160, 1687, 177]"
r006_c16,6,16,6.26 석식,스테이크 (2 호 차),92.75,needs_reread,variant_disagreement,0.3235,"[1689, 160, 1825, 177]"
r006_c17,6,17,…,치 플레 (1 호 차),92.4,needs_reread,variant_disagreement,0.4198,"[1827, 160, 1922, 177]"
r006_c18,6,18,6.27,BBQ (1 호 차),88.5,needs_reread,variant_disagreement,0.3576,"[1924, 160, 2024, 177]"
r006_c19,6,19,6.28,공항 (1 호 차),92.75,needs_reread,variant_disagreement,0.381,"[2026, 160, 2116, 177]"
r007_c00,7,0,차량,ㅣ,73.0,needs_reread,variant_disagreement,0.0,"[1, 179, 32, 196]"
r007_c01,7,1,번호,we,75.0,needs_reread,variant_disagreement,0.1575,"[34, 179, 65, 196]"
r007_c02,7,2,| 조,| 11,70.5,needs_reread,variant_disagreement,0.2397,"[67, 179, 121, 196]"
r007_c04,7,4,6.23 점심 자 유 식,스탠포드 (1 호 차),93.25,needs_reread,variant_disagreement,0.3441,"[243, 179, 363, 196]"
r007_c05,7,5,6.23 석식,민 앤 아 웃 (1 호 차),84.43,needs_reread,variant_disagreement,0.3719,"[365, 179, 483, 196]"
r007_c06,7,6,6.24 오전,PnP (3 호 차),93.0,needs_reread,variant_disagreement,0.2471,"[485, 179, 619, 196]"
r007_c08,7,8,버스 교체,pO,22.0,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 179, 828, 196]"
r007_c09,7,9,6.24 오후,블 룸 에너지 (4 호 차),90.67,needs_reread,variant_disagreement,0.3828,"[830, 179, 970, 196]"
r007_c10,7,10,| 6.24 석식,쌀국수 (4 호 차),90.5,needs_reread,variant_disagreement,0.3031,"[972, 179, 1109, 196]"
r007_c11,7,11,6.25 점 심 자 유 식,UCH He] (1 호 차),83.2,needs_reread,variant_disagreement,0.3724,"[1111, 179, 1235, 196]"
r007_c12,7,12,6.25 석 식 자 유식,PO,33.0,needs_reread,low_confidence,1.0,"[1237, 179, 1329, 196]"
r007_c13,7,13,6.26 오전,브 리 즈 바이오 (1 호 차),92.29,needs_reread,variant_disagreement,0.3824,"[1331, 179, 1465, 196]"
r007_c14,7,14,6.26 중 식 자 유 식,i ㆍ,70.0,needs_reread,variant_disagreement,1.0,"[1467, 179, 1559, 196]"
r007_c15,7,15,6.26 오후,NVIDIA (1 호 차),94.0,needs_reread,variant_disagreement,0.3319,"[1561, 179, 1687, 196]"
r007_c16,7,16,6.26 석식,스테이크 (2 호 차),93.0,needs_reread,variant_disagreement,0.3175,"[1689, 179, 1825, 196]"
r007_c17,7,17,…,치 폴레 (1 호 차),92.0,needs_reread,variant_disagreement,0.405,"[1827, 179, 1922, 196]"
r007_c18,7,18,6.27,BBQ (1 호 차),89.75,needs_reread,variant_disagreement,0.36,"[1924, 179, 2024, 196]"
r007_c19,7,19,6.28,공항 (1 호 차),92.75,needs_reread,variant_disagreement,0.3693,"[2026, 179, 2116, 196]"
r008_c00,8,0,차량,ㅣ,73.0,needs_reread,variant_disagreement,0.0,"[1, 198, 32, 215]"
r008_c01,8,1,번호,| 8,82.5,needs_reread,variant_disagreement,0.1935,"[34, 198, 65, 215]"
r008_c02,8,2,| 조,| 11,66.5,needs_reread,low_confidence|variant_disagreement,0.2124,"[67, 198, 121, 215]"
r008_c04,8,4,6.23 점심 자 유 식,스탠포드 (1 호 차),93.75,needs_reread,variant_disagreement,0.3431,"[243, 198, 363, 215]"
r008_c05,8,5,6.23 석식,인 엔 아웃 (1 호 차),91.5,needs_reread,variant_disagreement,0.3694,"[365, 198, 483, 215]"
r008_c08,8,8,버스 교체,pO,22.0,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 198, 828, 215]"
r008_c09,8,9,6.24 오후,블 룸 에너지 (4 호 차),93.33,needs_reread,variant_disagreement,0.3731,"[830, 198, 970, 215]"
r008_c10,8,10,| 6.24 석식,| 쌀국수 (4 호 차),89.0,needs_reread,variant_disagreement,0.3057,"[972, 198, 1109, 215]"
r008_c11,8,11,6.25 점 심 자 유 식,00 버 클리 (1 호 차),82.17,needs_reread,variant_disagreement,0.3676,"[1111, 198, 1235, 215]"
r008_c12,8,12,6.25 석 식 자 유식,|,91.0,needs_reread,variant_disagreement,1.0,"[1237, 198, 1329, 215]"
r008_c13,8,13,6.26 오전,브 리 즈 바이오 (1 호 차),90.0,needs_reread,variant_disagreement,0.3797,"[1331, 198, 1465, 215]"
r008_c14,8,14,6.26 중 식 자 유 식,|,63.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1467, 198, 1559, 215]"
r008_c15,8,15,6.26 오후,NVIDIA (1 호 차),89.0,needs_reread,variant_disagreement,0.331,"[1561, 198, 1687, 215]"
r008_c16,8,16,6.26 석식,스테이크 (2 호 차),92.5,needs_reread,variant_disagreement,0.3166,"[1689, 198, 1825, 215]"
r008_c17,8,17,…,치 폴레 (1 호 차),93.4,needs_reread,variant_disagreement,0.4068,"[1827, 198, 1922, 215]"
r008_c18,8,18,6.27,BBQ (1 호 차),91.75,needs_reread,variant_disagreement,0.3565,"[1924, 198, 2024, 215]"
r008_c19,8,19,6.28,공항 (1 호 차),92.5,needs_reread,variant_disagreement,0.3752,"[2026, 198, 2116, 215]"
r009_c00,9,0,차량,ㅣ,73.0,needs_reread,variant_disagreement,0.0,"[1, 217, 32, 234]"
r009_c01,9,1,번호,| 9,83.0,needs_reread,variant_disagreement,0.1898,"[34, 217, 65, 234]"
r009_c02,9,2,| 조,| 12,78.5,needs_reread,variant_disagreement,0.1797,"[67, 217, 121, 234]"
r009_c03,9,3,이름 | 이름,강 민 기,87.0,needs_reread,variant_disagreement,0.1844,"[123, 217, 241, 234]"
r009_c04,9,4,6.23 점심 자 유 식,스탠포드 (1 호 차),93.5,needs_reread,variant_disagreement,0.349,"[243, 217, 363, 234]"
r009_c05,9,5,6.23 석식,민 앤 아 웃 (1 호 차),87.14,needs_reread,variant_disagreement,0.3744,"[365, 217, 483, 234]"
r009_c07,9,7,6.24 중식,쌀국수 (3 호 차),93.5,needs_reread,variant_disagreement,0.3203,"[621, 217, 738, 234]"
r009_c08,9,8,버스 교체,pt,43.0,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 217, 828, 234]"
r009_c11,9,11,6.25 점 심 자 유 식,UCH Be| (1 호 차),86.4,needs_reread,variant_disagreement,0.37,"[1111, 217, 1235, 234]"
r009_c12,9,12,6.25 석 식 자 유식,pO,25.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1237, 217, 1329, 234]"
r009_c13,9,13,6.26 오전,시스코 (3 호 차),92.5,needs_reread,variant_disagreement,0.2647,"[1331, 217, 1465, 234]"
r009_c14,9,14,6.26 중 식 자 유 식,을,63.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1467, 217, 1559, 234]"
r009_c15,9,15,6.26 오후,베 어 로 봇 틱 (1 호 차),91.62,needs_reread,variant_disagreement,0.3833,"[1561, 217, 1687, 234]"
r009_c16,9,16,6.26 석식,동 순원 (1 호 차),92.2,needs_reread,variant_disagreement,0.2941,"[1689, 217, 1825, 234]"
r009_c17,9,17,…,치 폴 레 (1 호 차),92.5,needs_reread,variant_disagreement,0.4074,"[1827, 217, 1922, 234]"
r009_c18,9,18,6.27,BBQ (1 호 차),89.75,needs_reread,variant_disagreement,0.3506,"[1924, 217, 2024, 234]"
r009_c19,9,19,6.28,공항 (1 호 차),93.25,needs_reread,variant_disagreement,0.3778,"[2026, 217, 2116, 234]"
r010_c00,10,0,차량,ㅣ,73.0,needs_reread,variant_disagreement,0.0,"[1, 236, 32, 253]"
r010_c01,10,1,번호,| 10,83.0,needs_reread,variant_disagreement,0.2334,"[34, 236, 65, 253]"
r010_c02,10,2,| 조,| 12,80.5,needs_reread,variant_disagreement,0.1765,"[67, 236, 121, 253]"
r010_c03,10,3,이름 | 이름,김경민,96.0,needs_reread,variant_disagreement,0.1979,"[123, 236, 241, 253]"
r010_c04,10,4,6.23 점심 자 유 식,| 스탠포드 (1 호 차),90.4,needs_reread,variant_disagreement,0.351,"[243, 236, 363, 253]"
r010_c05,10,5,6.23 석식,인 엔 아 웃 (1 호 차),90.14,needs_reread,variant_disagreement,0.3769,"[365, 236, 483, 253]"
r010_c06,10,6,6.24 오전,PoP (3 호 차),87.0,needs_reread,variant_disagreement,0.2489,"[485, 236, 619, 253]"
r010_c07,10,7,6.24 중식,ㅣ 쌀국수 (3 호 차),87.8,needs_reread,variant_disagreement,0.3208,"[621, 236, 738, 253]"
r010_c08,10,8,버스 교체,를 를 르 [,29.0,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 236, 828, 253]"
r010_c09,10,9,6.24 오후,NVIDIA (1 호 차),90.0,needs_reread,variant_disagreement,0.3042,"[830, 236, 970, 253]"
r010_c11,10,11,6.25 점 심 자 유 식,UCH #2] (1 호 차),82.6,needs_reread,variant_disagreement,0.3681,"[1111, 236, 1235, 253]"
r010_c12,10,12,6.25 석 식 자 유식,PO,26.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1237, 236, 1329, 253]"
r010_c13,10,13,6.26 오전,시스코 (3 호 차),93.25,needs_reread,variant_disagreement,0.2634,"[1331, 236, 1465, 253]"
r010_c14,10,14,6.26 중 식 자 유 식,Ls,69.0,needs_reread,low_confidence|variant_disagreement,1.0,"[1467, 236, 1559, 253]"
r010_c15,10,15,6.26 오후,ㅣ 베 어 로 봇 틱 (1 호 차),83.22,needs_reread,variant_disagreement,0.3861,"[1561, 236, 1687, 253]"
r010_c16,10,16,6.26 석식,동 순원 (1 호 차),90.2,needs_reread,variant_disagreement,0.3023,"[1689, 236, 1825, 253]"
r010_c17,10,17,…,치 플레 (1 호 차),92.8,needs_reread,variant_disagreement,0.405,"[1827, 236, 1922, 253]"
r010_c18,10,18,6.27,BBQ (1 호 차),87.25,needs_reread,variant_disagreement,0.3476,"[1924, 236, 2024, 253]"
r010_c19,10,19,6.28,공항 (1 호 차),80.75,needs_reread,variant_disagreement,0.3693,"[2026, 236, 2116, 253]"
r011_c01,11,1,번호,| 11,78.0,needs_reread,variant_disagreement,0.1841,"[34, 255, 65, 272]"
r011_c03,11,3,이름 | 이름,박 호반,69.0,needs_reread,low_confidence|variant_disagreement,0.1889,"[123, 255, 241, 272]"
r011_c04,11,4,6.23 점심 자 유 식,스탠포드 (1 호 차),93.0,needs_reread,variant_disagreement,0.3436,"[243, 255, 363, 272]"
r011_c05,11,5,6.23 석식,인 앤 아 웃 (1 호 차),92.29,needs_reread,variant_disagreement,0.3699,"[365, 255, 483, 272]"
r011_c06,11,6,6.24 오전,PnP (3 호 차),92.75,needs_reread,variant_disagreement,0.2471,"[485, 255, 619, 272]"
r011_c07,11,7,6.24 중식,쌀국수 (3 호 차),90.0,needs_reread,variant_disagreement,0.3137,"[621, 255, 738, 272]"
r011_c08,11,8,버스 교체,pO,26.0,needs_reread,low_confidence|variant_disagreement,1.0,"[740, 255, 828, 272]"
r011_c09,11,9,6.24 오후,NVIDIA (1 호 차),91.75,needs_reread,variant_disagreement,0.2987,"[830, 255, 970, 272]"
